0:0:0:0:0:0:0:1 - - [01/Nov/2015:14:38:20 +0530] "GET /MusicEra/ HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [01/Nov/2015:14:38:20 +0530] "GET /MusicEra/CSS/main.css HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [01/Nov/2015:14:38:20 +0530] "GET /MusicEra/Images/Me.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:14:38:20 +0530] "GET /MusicEra/Images/headphone.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:14:39:20 +0530] "GET /MusicEra/CSS/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:14:47:44 +0530] "GET /MusicEra/ HTTP/1.1" 200 749
0:0:0:0:0:0:0:1 - - [01/Nov/2015:14:47:44 +0530] "GET /MusicEra/CSS/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:14:47:44 +0530] "GET /MusicEra/Images/Me.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:14:47:44 +0530] "GET /MusicEra/Images/headphone.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:14:52:12 +0530] "GET /MusicEra/ HTTP/1.1" 200 3641
0:0:0:0:0:0:0:1 - - [01/Nov/2015:14:52:12 +0530] "GET /MusicEra/Images/Me.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:14:52:12 +0530] "GET /MusicEra/CSS/main.css HTTP/1.1" 200 2336
0:0:0:0:0:0:0:1 - - [01/Nov/2015:14:52:12 +0530] "GET /MusicEra/Images/headphone.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:14:53:47 +0530] "GET /MusicEra/ HTTP/1.1" 200 3641
0:0:0:0:0:0:0:1 - - [01/Nov/2015:14:53:47 +0530] "GET /MusicEra/Images/Me.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:14:53:47 +0530] "GET /MusicEra/CSS/main.css HTTP/1.1" 200 2332
